Package,Version
CCE,20.0.0
MPICH,9.0.1
MPIxlate,1.0.9
DSMML,0.3.1
PMI,6.1.16
OpenSHMEMX,11.8.0
mrnet,5.1.5
ATOMS,1.1.6
PALS,1.2.12
ATP,3.15.6
CCDB,5.0.6
cray-dyninst,12.3.5
CTI,2.19.1
gdb4hpc,4.16.4
sanitizers4hpc,1.1.5
STAT,4.12.5
valgrind4hpc,2.13.5
perftools,25.09.0
PAPI,7.2.0.2
LibSci,25.09.0
LibSci_acc,25.09.2
FFTW,3.3.10.11
craype-dl-plugin-ftr,22.06.1.2
craype-dl-plugin-py3,24.03.1
craypkg-gen,1.3.36
craype,2.7.35
cpe-prgenv,8.6.0
cray-lmod,8.7.60
modules,3.2.11.7
HDF5,1.14.3.7
NetCDF,4.9.2.1
parallel-netcdf,1.12.3.19
iobuf,2.0.10
GCC,14
cray-python,3.11.7
cray-R,4.4.0
jemalloc,5.1.0.4
AOCC,4.1.0
ROCM,6.4.4
intel,2024.0
NVIDIA,23.11
craype-targets,1.16.0
EasyBuild,5.2.0
